TA,TST
96.8939996719,80.109998703
96.9899992943,80.4499981999
97.1019992232,80.5099989772
97.1699992418,80.5499988198
96.8819994092,80.5299988985
97.0339995384,80.3199982643
96.9279993296,80.3299983144
96.5179996371,80.179998219
96.975999701,80.4499986768
97.0979994774,80.599999249
97.1559991956,80.4299985766
97.0999993563,80.6899982691
97.207999146,80.589998126
97.0759994626,80.6999985576
97.2599990845,80.6799982786
97.1639993429,80.7499988675
97.2839990735,80.5199984908
96.8979996085,80.3499981761
97.0539993167,80.4999982715
96.9279996395,80.4899988174
97.1439995289,80.5899981856
97.163999331,80.5199981928
97.0119994521,80.3499987721
96.6219995856,80.0499984026
97.3079990625,80.7199984789
97.0479994535,80.4699987769
97.0619992137,80.3199980259
97.1459991813,80.4699986577
97.3919991016,80.5599982142
97.3299990892,80.4099985957
97.2219991207,80.5499984622
97.1399994731,80.6999981403
97.445998776,80.5699982643
97.3959988594,80.7899985313
97.1219993591,80.7999988794
97.1959994197,80.45999825
97.3079991102,80.5999978185
96.9619994521,80.1399985552
97.1179994226,80.299998045
97.0919992447,80.5299980044
97.2819990754,80.5599986315
97.4179986835,80.6299986839
97.4819989443,80.4899983406
97.3379991412,80.5599983335
97.085999608,80.4699985981
97.4579990268,80.7599983811
97.3079990625,80.5299984813
97.5459990501,80.6899986267
97.3879990935,80.4299989343
97.2179992318,80.6199988723
97.5319990754,80.7299982309
97.535998857,80.599998951
97.4899990201,80.6799987555
97.6079989195,80.7299980521
97.3959990263,80.4799986482
97.48599931,80.7199984193
97.1199993014,80.4099984169
97.3039992809,80.5499987602
97.3499992251,80.2999984026
97.3659986973,80.5599985719
97.4259990931,80.4999986291
97.3279989004,80.3899988532
97.4839990854,80.5499988198
97.6939988375,80.7599986196
97.4799990058,80.619998455
97.7279988289,80.6299982071
97.5919989944,80.7699989676
97.6359986782,80.7599986196
97.7759986758,80.8099985123
97.5659988761,80.6499988437
97.61999892,80.799998343
97.6219988465,80.3799981475
97.6519987106,80.8399981856
97.717998898,80.6399982572
97.7679987669,80.7899978757
97.509999001,80.4799984694
97.8259986639,80.6599981785
97.5799989939,80.6199983358
97.8099985838,80.8199983239
97.6959987879,80.5699983835
97.6599989295,80.6699988842
97.9179987431,80.6599987149
97.4719990373,80.3199986815
97.3659990072,80.3299986124
97.7419987559,80.8799983263
97.5559989452,80.6999988556
97.6819987655,80.4299989939
97.7599987864,80.699998796
97.585998714,80.4199982882
97.6719985843,80.6399984956
97.7659990072,80.8299987912
97.4759992599,80.2899990082
97.715998745,80.4399983883
97.6659988642,80.4699981809
97.7979987979,80.6499987245
97.5759988904,80.3899985552
97.8159987211,80.859998703
97.6759986281,80.3999983668
97.7719987512,80.6299980283
97.8339987278,80.699998498
97.9599984169,80.6599978805
97.3479992747,80.2799983025
97.8999985576,80.6499981284
97.8059988141,80.7899982333
97.8479989767,80.6699982285
97.8079988718,80.4499983191
98.0179986358,80.9199984074
97.631998682,80.4699984193
98.1519984961,80.7899976969
97.8479987621,80.6399979591
97.8979986429,80.6999981999
97.943998456,80.5299985409
97.8899987459,80.6799982786
97.9059985995,80.5299984813
97.8099987507,80.5399984717
97.8539988279,80.3599982262
98.0479984403,80.7699987888
97.7319989562,80.4599981904
97.9519986629,80.5299983621
97.9659986854,80.5999980569
98.0079985261,80.4699983597
98.053998363,80.6099982858
97.8859984398,80.4099981189
98.053998518,80.7799985409
97.7499988079,80.2499979734
97.9439988375,80.7699983716
97.9479986787,80.2499980927
98.0339986801,80.619998157
97.9899987817,80.7799984217
98.1559986711,80.7499982715
97.9339986086,80.309998095
97.9579985499,80.7099978924
98.0479983807,80.6699983478
97.7779989004,80.5299984217
97.9939986348,80.3799982667
97.9759986877,80.4299981594
97.9819985509,80.76999861
98.0299984694,80.3399984837
97.9279987574,80.5199977756
98.0359983087,80.4999981523
98.0379985452,80.5799981952
97.8619984865,80.6099986434
98.0439986348,80.6099984646
97.7299987435,80.329998672
98.1479983211,80.9299983382
98.0619981766,80.7299980521
98.1639985919,80.8099981546
97.9999986172,80.5299981833
98.2319985032,80.8199987411
97.9579985857,80.8399983644
98.1479985833,80.8399984837
98.0559986353,80.5699983239
98.2179984331,81.0599983335
98.0119986296,80.8399983644
98.0859985232,80.8199982643
98.0819985867,80.7399984598
98.1519983768,80.4499975443
98.2199985743,80.6299978495
98.1339983225,80.7599986792
98.2999983788,81.059998095
98.101998651,80.9499977827
98.2039982796,80.8399986029
97.9959987044,80.5599982142
98.0759986401,80.6999981403
98.1099986911,80.5999984741
98.0399987459,80.3999980688
98.2159984112,80.6099983454
98.0339984536,80.4999989867
98.3179984689,80.8999983668
98.3379981518,80.6199982762
98.2619983912,80.5899985433
98.2699984789,80.739998579
98.2339982271,80.6699982285
97.993998611,80.4199979901
98.0559985161,80.6299977303
98.3239984155,80.9499977231
98.1299984813,80.9199981689
98.2779984236,80.8299984932
98.321998322,80.7899979949
98.2979984283,80.6499981284
98.2779986262,80.6499982476
98.3439982533,80.9499981403
97.9559984446,80.3699982762
98.2879984379,81.1799982786
98.4339980841,80.95999825
98.3839982152,80.799998939
98.36399827,80.9899984002
98.2599981785,80.7299984694
98.239998436,80.8399987221
98.1719986081,80.6299977899
98.337998271,80.5399980545
98.5919979692,80.9599984884
98.1559983611,80.6199979782
98.4159981847,80.829998374
98.2099984407,80.4199980497
98.2019984245,80.7599983215
98.2539985418,80.5399976373
98.4199982643,80.8099985719
98.0839985847,80.3899977803
98.2919983625,80.5299986005
98.353998208,80.8099986315
98.471998167,80.7899978161
98.4379983306,80.8399985433
98.3619983912,80.8299981952
98.0939984798,80.6599985957
98.3199982047,80.619998157
98.3419981241,80.769998014
98.3639983892,80.8699983954
98.1939983487,80.8099983335
98.4099981546,80.749998033
98.6139980912,80.8499983549
98.5419980884,81.0299984813
98.4499980807,80.709998548
98.5599982619,80.8799984455
98.2039983392,80.4299986362
98.4639981866,80.7199983001
98.3559982657,80.679998517
98.4299980879,80.8199982643
98.247998476,80.6699986458
98.3579982758,80.7599982619
98.5199979782,80.8699985743
98.5599982858,80.9399985075
98.4959980488,80.9199985266
98.40799824,80.6799984574
98.561998117,81.0399981141
98.6779980779,81.0399986506
98.4839980245,80.8299980164
98.3079983354,80.4699985981
98.5739979029,80.9699985385
98.5799981833,80.8699982762
98.1459986806,80.7799981236
98.2499985695,80.719997704
98.5379980564,81.1799987555
98.6119979501,81.0299980044
98.4659981847,80.7599983811
98.6019982338,81.0899987817
98.2979985476,80.729998529
98.5119982958,81.1199982762
98.3599980235,80.859998107
98.6139981389,80.8899984956
98.167998457,80.4199978709
98.4039982915,80.799998939
98.2559984803,80.8399978876
98.5059981823,80.8999983072
98.5619980812,81.0599984527
98.4279981375,80.5599983335
98.417998302,80.8799985051
98.601998198,81.1299983859
98.4899981618,80.9899983406
98.5419980526,80.9999981523
98.5799981713,80.799998641
98.7559979796,81.0699981451
98.4159981966,80.6999984384
98.3799980402,80.9599987268
98.5519982934,81.0399986506
98.3159985185,80.7699981928
98.5339981318,80.7699985504
98.6339981079,81.0799984932
98.5919982791,80.9999985099
98.5219979763,80.9899980426
98.3919983864,80.5999979973
98.667998147,80.949998498
98.5639980912,81.0199984312
98.6819981456,81.0699979663
98.5599982023,80.8099978566
98.6059978604,81.0199984908
98.6139982343,80.9699985981
98.5719980836,80.6599984765
98.5859983921,81.0599982142
98.6259980083,81.0599985123
98.7199979424,81.2099987864
98.6679981947,80.9899981022
98.6759979606,81.2599981427
98.6319981337,80.9299983382
98.5539981365,80.9199981093
98.6159980059,80.7799982429
98.7259981155,81.179997921
98.7459979057,81.0999986529
98.7019980311,81.169998765
98.5599982023,81.0399981737
98.5659981608,81.0599982738
98.8139980316,81.1899982095
98.6279979706,80.9499981403
98.7679978609,81.0399987102
98.6079980612,81.1199985147
98.6619980216,80.9199983478
98.6979981422,81.1699979305
98.7919981956,81.1299990416
98.6659980059,81.239998281
98.6759981871,81.1099981666
98.6299983382,81.0999987721
98.7159979582,80.9199985266
98.8039980769,81.3099981546
98.7399978638,81.1899989247
98.7839981437,81.2199984789
98.7959980011,81.0699985027
98.7299980164,80.7899985313
98.8439980984,81.0599986315
98.6339980364,81.2899989486
98.7019981503,81.2799990177
98.7159979343,81.1299981475
98.8059980631,81.4899986386
98.6679981589,80.8999984264
98.6799979687,81.1399988532
98.8319980383,81.0699986219
98.7279981613,80.639998138
98.5899981737,80.6799985766
98.9039979339,81.2699985504
98.7699978709,81.139998436
98.6599979281,81.139998138
98.7479981542,81.0499985218
98.6599980354,81.0699985027
98.6739982009,80.9999983907
98.877997756,81.169998467
98.6939981937,80.909997642
98.6439980388,80.7599979639
98.7679981709,81.0999985933
98.6619980454,80.7999985814
98.7539980412,81.0099982619
98.7659978151,81.0499982238
98.583998251,81.01999861
98.7019979954,80.8299987912
98.6159981132,80.9999985099
98.8199978709,81.199998498
98.5019984603,80.8199983239
98.709998107,81.0599983931
98.7479981542,80.929998517
98.7259979486,81.0399981141
98.7099979997,81.239998281
98.6119979382,80.9899984002
98.9339975715,81.2399985194
98.9139978766,81.3599986434
98.7439980507,81.2499985099
98.7499978662,80.8899981976
98.7519980311,81.1399983764
98.5679980993,80.709998548
98.9079977751,81.0699981451
98.5719980001,80.8599985838
98.7359980464,80.7299985886
98.9519979,81.3199983239
98.6859981656,80.9899979234
98.9139977932,81.0699986815
98.9299978971,80.6199982762
98.8599979401,81.0099983811
98.8419979453,80.7399981022
98.8619977355,81.0699982643
98.8559980035,81.0599980354
98.8519980788,80.8499981761
98.8219981313,80.9599981308
98.8879979134,81.2299982309
98.825998199,80.9099984765
98.7499977708,80.7699978948
99.0019977093,81.2399984002
98.9359978676,81.1199986935
98.8119979382,81.1599982381
98.8499977946,81.1699985266
98.6799978018,80.9899985194
98.9659979701,81.249998033
98.8759978652,81.1899980903
98.7239980698,80.919998467
98.8699979901,81.1799983382
98.8919980764,81.2299976945
98.8299978852,80.8799977303
98.8379979134,81.019998014
98.9999977589,81.0299978256
98.9879975557,81.0699980855
98.9239977002,80.7999981046
98.8499978542,81.0599982738
99.051997602,81.2899983525
98.9419979811,81.0299983621
98.7279978871,80.9299983978
98.8759981275,80.989998579
98.7379982352,80.6899979711
98.9359978199,81.0499985218
98.7779979467,80.7499982119
98.9799980402,80.9299981594
98.9739977837,81.1899982691
98.9739977479,81.3399984837
99.0059977174,80.959997952
98.9519979,81.0899980068
98.9339979768,81.1599982381
98.7839979768,80.8399984241
98.9679978967,81.0999982953
98.8939979434,80.8899981976
98.885997951,80.9999985099
98.9859978557,81.1399984956
98.8799980164,80.899998486
98.9419978738,81.2599982619
99.0459979057,81.3099981546
98.9979977608,81.209997952
98.9999978662,81.2599977255
98.94999789,81.3599982858
98.957998085,81.2399984598
99.0559978366,81.1899979115
98.8379981399,80.9199988842
98.9619979143,80.9599986672
98.9519975305,80.8899981976
98.9019978523,81.1899987459
98.9899979234,80.999998033
98.9599979281,81.2099986672
98.9619978786,80.8699983954
98.9899978518,81.2899984121
99.0099977851,81.1599986553
99.0379979014,81.1099979281
98.9439978361,81.0399984717
98.7539980888,80.8399981856
99.0679976821,81.2899985909
98.9299978852,80.9699980021
98.8039978027,81.0699986219
99.0619978309,81.1999985576
98.8099978924,80.889998436
98.8599978805,80.7899982333
98.9739979982,80.9799982309
99.0559977174,81.3599985838
99.061997807,81.1299982667
98.8519981623,81.0599986911
99.0979977131,81.0899974108
99.1199976087,81.0999980569
99.0639979362,81.3999987245
98.9959978342,80.8899980783
98.9179977655,81.0299986005
98.9739979029,81.1499986053
98.9819974303,81.1599982977
98.8719979048,80.6899979711
98.9719979644,81.3499980569
99.09799757,81.0899983048
98.9659979224,80.9199984074
98.9459976554,81.1399984956
99.0019975424,81.0699990392
98.887997961,80.9499987364
99.0859976888,81.2699986696
98.7819976926,80.6899984479
99.067997694,81.119998455
98.975997901,81.1599985361
98.9539979935,80.8199984431
99.121997571,81.3499982357
99.0419977307,81.1399985552
99.1699978352,81.2799978256
99.0719974875,81.1999985576
99.0619980216,80.9699984193
99.0959977388,81.1499987245
99.0479977012,81.2599986196
98.8579978347,80.7599974275
98.9499977589,81.0899980068
99.091997695,81.1599981785
99.0679976344,81.2299981713
98.9659978867,81.0999982357
98.9579977274,80.8999975324
99.0079977155,81.1099988222
99.0659977913,81.419998765
99.0239978075,81.1399981976
99.047997725,81.3399981856
99.0959978342,81.0699983239
99.0499977469,81.1799979806
99.1859973907,81.3299981952
99.1839975357,81.2799983621
98.9239978075,81.1299984455
99.0879980564,81.4699987173
99.0559980273,81.1499986649
99.083997786,81.2399984002
98.9619976878,81.0699988604
99.0199977875,80.9799982905
99.095997417,81.5499985814
99.1199976921,81.2399982214
99.1719976783,81.4599981904
99.1919979095,81.5599986315
99.1959973931,81.1899978518
99.0959977269,81.0399979353
98.9939977765,81.0199978948
99.0699978709,81.2199978232
99.1079978704,81.3999982476
99.0679976702,81.2999984026
99.1379975557,81.4699981213
99.1599977612,81.1799980402
99.077997756,81.2299984097
98.9739976645,80.8899971247
99.1419978976,81.4399989247
99.2139974713,81.4899982214
98.9539980173,80.9999980927
99.0879976273,81.1699982882
99.0079977274,80.7999978065
99.1699979067,81.2799982429
99.0899976254,81.269998014
99.219997561,81.2199985385
99.047997725,81.0299987197
99.1779974103,81.1999983191
98.9699978709,81.0199984312
99.1159974813,80.9999982715
99.131997788,81.2499985695
99.1639975786,81.2299983501
99.1439979076,81.0599980354
99.1359975815,81.1399985552
99.1719974518,81.2799986601
99.1539979219,81.1599984765
99.1859976411,81.3399981856
99.2259976745,81.4399980307
99.0659979701,81.1699981689
99.1859977841,81.2799987793
99.2239976287,81.2799982429
99.0619977117,81.3299986124
99.1499976397,81.1699978709
99.2679975867,81.3799987435
